id;;det;;word;;definition;;rank
n-spa-1;;la;;vez;;time . . . as in a particular occasion;;44
n-spa-2;;el;;año;;year;;55
n-spa-3;;el;;tiempo;;time . . . as a concept; weather;;68
n-spa-4;;el;;día;;day;;71
n-spa-5;;la;;cosa;;thing;;78
n-spa-6;;el;;hombre;;man, mankind;;80
n-spa-7;;el;;parte;;part;;86
n-spa-8;;la;;vida;;life;;88
n-spa-9;;el;;momento;;moment;;108
n-spa-10;;la;;forma;;shape, form, way;;113
n-spa-11;;la;;casa;;house;;116
n-spa-12;;el;;mundo;;world;;118
n-spa-13;;la;;mujer;;woman;;127
n-spa-14;;el;;caso;;case;;130
n-spa-15;;el;;país;;country;;133
n-spa-16;;el;;lugar;;place;;135
n-spa-17;;la;;persona;;person;;137
n-spa-18;;la;;hora;;hour;;143
n-spa-19;;el;;trabajo;;work;;145
n-spa-20;;el;;punto;;point, dot, period;;147
n-spa-21;;la;;mano;;hand;;150
n-spa-22;;la;;manera;;way;;152
n-spa-23;;el;;ﬁn;;end;;156
n-spa-24;;el;;tipo;;type, sort;;157
n-spa-25;;la;;gente;;people;;158
n-spa-26;;el;;ejemplo;;example;;162
n-spa-27;;el;;lado;;side;;165
n-spa-28;;el;;hijo;;son;;166
n-spa-29;;los;;hijos;;children, offspring;;166
n-spa-30;;el;;problema;;problem;;169
n-spa-31;;la;;cuenta;;calculation, count; account; check, bill; bead;;170
n-spa-32;;el;;medio;;middle, center; environment; medium; means, way;;171
n-spa-33;;la;;palabra;;word;;176
n-spa-34;;el;;niño;;child;;178
n-spa-35;;el;;padre;;father;;182
n-spa-36;;el;;cambio;;change;;186
n-spa-37;;la;;historia;;history, story;;192
n-spa-38;;la;;idea;;idea;;193
n-spa-39;;la;;agua;;water;;194
n-spa-40;;la;;noche;;night;;196
n-spa-41;;la;;ciudad;;city;;197
n-spa-42;;el;;modo;;way, manner;;198
n-spa-43;;el;;nombre;;name;;199
n-spa-44;;la;;familia;;family;;201
n-spa-45;;la;;realidad;;reality;;202
n-spa-46;;la;;obra;;work; deed; work of art; renovation;;206
n-spa-47;;la;;verdad;;truth;;209
n-spa-48;;el;;mes;;month;;210
n-spa-49;;la;;razón;;reason;;212
n-spa-50;;el;;grupo;;group;;216
n-spa-51;;la;;relación;;relationship;;230
n-spa-52;;el;;cuerpo;;body;;232
n-spa-53;;el;;hecho;;event, fact;;235
n-spa-54;;el;;principio;;beginning;;237
n-spa-55;;el;;señor, la señora;;gentleman, man, lady, woman, wife, mister, maistresse;;240
n-spa-56;;el;;pueblo;;town;;241
n-spa-57;;la;;tarde;;afternoon, evening;;242
n-spa-58;;el;;ojo;;eye;;247
n-spa-59;;la;;calle;;street;;248
n-spa-60;;el;;libro;;book;;253
n-spa-61;;la;;fuerza;;strength, force;;255
n-spa-62;;la;;luz;;light;;256
n-spa-63;;el;;santo, la santa;;saint;;258
n-spa-64;;el;;frente;;front;;260
n-spa-65;;la;;frente;;forehead;;260
n-spa-66;;el;;amigo, la amiga;;friend;;262
n-spa-67;;el;;sentido;;sense;;265
n-spa-68;;el;;paso;;step, pace;;267
n-spa-69;;la;;situación;;situation;;268
n-spa-70;;la;;gracia;;skill, ability; joke; grace;;272
n-spa-71;;el;;siglo;;century;;273
n-spa-72;;el;;dios;;god;;274
n-spa-73;;la;;tierra;;earth, land;;276
n-spa-74;;el;;papel;;paper; role, part;;277
n-spa-75;;la;;madre;;mother;;278
n-spa-76;;el;;tema;;subject, topic; theme;;283
n-spa-77;;la;;clase;;class;;288
n-spa-78;;el;;dinero;;money;;291
n-spa-79;;el;;campo;;field, countryside;;295
n-spa-80;;la;;cabeza;;head;;298
n-spa-81;;el;;orden;;order of numbers;;302
n-spa-82;;la;;orden;;religious order;;302
n-spa-83;;el;;don;;gift, present; talent; male courtesy title;;303
n-spa-84;;la;;semana;;week;;304
n-spa-85;;el;;interés;;interest;;308
n-spa-86;;la;;vista;;sight, view;;310
n-spa-87;;el;;acuerdo;;accord;;313
n-spa-88;;el;;número;;number;;315
n-spa-89;;el;;fondo;;bottom, back of, end of;;318
n-spa-90;;el;;camino;;road, way;;319
n-spa-91;;la;;voz;;voice; opinion; shout; sound; word, term; rumor;;320
n-spa-92;;el;;estudio;;the study of, office study;;321
n-spa-93;;el;;valor;;value;;326
n-spa-94;;la;;medida;;measure;;333
n-spa-95;;el;;centro;;center, downtown;;339
n-spa-96;;la;;necesidad;;necessity;;340
n-spa-97;;la;;condición;;condition;;341
n-spa-98;;la;;falta;;lack, fault;;344
n-spa-99;;la;;edad;;age;;350
n-spa-100;;el;;estado;;state of being of matter, geographical state;;351
n-spa-101;;el;;ser;;being;;352
n-spa-102;;la;;puerta;;door;;354
n-spa-103;;la;;cara;;face;;356
n-spa-104;;la;;época;;epoch, age, period;;358
n-spa-105;;el;;color;;color;;359
n-spa-106;;la;;experiencia;;experience;;361
n-spa-107;;el;;movimiento;;movement;;362
n-spa-108;;el;;pesar;;regret;;366
n-spa-109;;la;;posibilidad;;possibility;;367
n-spa-110;;el;;juego;;play; game, sport;;371
n-spa-111;;el;;aire;;air;;374
n-spa-112;;la;;guerra;;war;;377
n-spa-113;;el;;resultado;;result;;379
n-spa-114;;la;;ley;;law;;384
n-spa-115;;el;;aspecto;;aspect; physical appearance;;385
n-spa-116;;el;;pie;;foot, base;;386
n-spa-117;;la;;especie;;kind;;388
n-spa-118;;el;;servicio;;service;;390
n-spa-119;;la;;actividad;;activity;;393
n-spa-120;;la;;cuestión;;matter, affair, question;;398
n-spa-121;;la;;duda;;doubt;;399
n-spa-122;;la;;diferencia;;difference;;400
n-spa-123;;la;;mañana;;morning, tomorrow;;401
n-spa-124;;la;;cantidad;;quantity;;404
n-spa-125;;la;;acción;;action;;405
n-spa-126;;la;;sociedad;;society;;408
n-spa-127;;el;;peso;;weight;;417
n-spa-128;;el;;efecto;;effect;;418
n-spa-129;;el;;objeto;;object;;419
n-spa-130;;el;;amor;;love;;423
n-spa-131;;la;;muerte;;death;;424
n-spa-132;;el;;partido;;party; game, match;;425
n-spa-133;;el;;derecho;;right, law;;427
n-spa-134;;el;;poder;;power, control; influence; ability; branch of government; force; possession; power of attorney;;428
n-spa-135;;la;;importancia;;importance;;429
n-spa-136;;el;;sistema;;system;;430
n-spa-137;;el;;viaje;;travel;;431
n-spa-138;;el;;suelo;;ground, floor;;432
n-spa-139;;el;;respecto;;respect;;433
n-spa-140;;el;;conocimiento;;knowledge;;434
n-spa-141;;la;;libertad;;freedom, liberty;;435
n-spa-142;;la;;atención;;attention;;441
n-spa-143;;el;;esfuerzo;;effort;;444
n-spa-144;;el;;resto;;rest;;447
n-spa-145;;la;;zona;;area, zone;;449
n-spa-146;;el;;miedo;;fear;;450
n-spa-147;;el;;proceso;;process;;452
n-spa-148;;el;;minuto;;minute;;459
n-spa-149;;la;;mesa;;table;;461
n-spa-150;;la;;ocasión;;occasion;;463
n-spa-151;;el;;programa;;program;;467
n-spa-152;;el;;favor;;favor;;468
n-spa-153;;la;;respuesta;;answer, response;;472
n-spa-154;;la;;línea;;line;;473
n-spa-155;;el;;espacio;;space;;474
n-spa-156;;el;;nivel;;level;;475
n-spa-157;;el;;gobierno;;government;;476
n-spa-158;;el;;cabo;;end, stub, end piece;;477
n-spa-159;;la;;pregunta;;question;;481
n-spa-160;;la;;imagen;;image;;484
n-spa-161;;la;;carrera;;run, running; race; career;;485
n-spa-162;;la;;ﬁgura;;ﬁgure;;495
n-spa-163;;el;;animal;;animal;;497
n-spa-164;;la;;base;;base;;498
n-spa-165;;la;;posición;;position;;503
n-spa-166;;el;;motivo;;motive;;504
n-spa-167;;la;;prueba;;proof, evidence; trial, test;;505
n-spa-168;;la;;política;;politics, policy;;506
n-spa-169;;el;;dato;;fact;;513
n-spa-170;;los;;datos;;data, information;;513
n-spa-171;;la;;empresa;;business;;517
n-spa-172;;el;;asunto;;affair, matter, subject;;518
n-spa-173;;la;;presencia;;appearance, presence;;519
n-spa-174;;la;;cultura;;culture;;521
n-spa-175;;la;;serie;;series;;522
n-spa-176;;el;;carácter;;character, kind;;530
n-spa-177;;la;;mayoría;;majority;;531
n-spa-178;;la;;escuela;;school;;532
n-spa-179;;el;;autor, la autora;;author;;538
n-spa-180;;el;;hermano;;brother;;539
n-spa-181;;la;;función;;function; duty; performance;;543
n-spa-182;;la;;causa;;cause;;546
n-spa-183;;la;;decisión;;decision;;549
n-spa-184;;la;;música;;music;;550
n-spa-185;;la;;expresión;;expression;;555
n-spa-186;;el;;río;;river;;559
n-spa-187;;la;;seguridad;;safety, security;;560
n-spa-188;;el;;término;;end; term, expression;;561
n-spa-189;;el;;metro;;meter, subway;;563
n-spa-190;;el;;o la médico;;doctor;;564
n-spa-191;;el;;arte;;art;;567
n-spa-192;;la;;consecuencia;;consequence;;570
n-spa-193;;el;;acto;;act;;572
n-spa-194;;la;;pena;;sentence, penalty; sorrow, grief; problem;;575
n-spa-195;;el;;segundo;;second;;577
n-spa-196;;la;;altura;;height, altitude;;578
n-spa-197;;el;;deseo;;desire, wish;;579
n-spa-198;;el;;joven;;young person;;581
n-spa-199;;el;;sueño;;dream, sleep;;583
n-spa-200;;la;;tarea;;task, homework;;585
n-spa-201;;la;;carta;;letter, correspondence; playing card; charter, constitution; menu; map, chart;;586
n-spa-202;;la;;propiedad;;property;;588
n-spa-203;;el;;producto;;product;;589
n-spa-204;;el;;gusto;;taste, pleasure;;593
n-spa-205;;la;;ayuda;;help, assistance;;594
n-spa-206;;la;;lengua;;tongue, language;;596
n-spa-207;;el;;plan;;plan;;598
n-spa-208;;la;;vuelta;;turn, revolution, lap; return; change;;600
n-spa-209;;el;;proyecto;;project, plan;;604
n-spa-210;;la;;memoria;;memory;;605
n-spa-211;;el;;origen;;beginning, origin;;606
n-spa-212;;el;;elemento;;element;;607
n-spa-213;;el;;mercado;;market;;609
n-spa-214;;el;;curso;;course, direction; school year; course, school subject;;610
n-spa-215;;la;;sangre;;blood;;613
n-spa-216;;el;;interior;;interior;;614
n-spa-217;;el;;uso;;use; usage;;619
n-spa-218;;el;;brazo;;arm;;620
n-spa-219;;el;;o la profesor;;professor;;621
n-spa-220;;el;;futuro;;future;;623
n-spa-221;;la;;oportunidad;;opportunity, chance;;624
n-spa-222;;la;;mitad;;half; middle;;625
n-spa-223;;el;;recuerdo;;memories, a memory, remembrance, souvenir;;628
n-spa-224;;la;;opinión;;opinion;;632
n-spa-225;;la;;boca;;mouth, entrance, opening;;635
n-spa-226;;la;;dirección;;address; direction; leadership; steering;;636
n-spa-227;;la;;pieza;;piece, part;;639
n-spa-228;;la;;actitud;;attitude;;644
n-spa-229;;el;;mar;;sea;;645
n-spa-230;;la;;entrada;;entrance, admission ticket; beginning; entrée; musical cue;;647
n-spa-231;;el;;contacto;;contact;;648
n-spa-232;;el;;corazón;;heart, core;;649
n-spa-233;;el;;capital;;capital, money;;651
n-spa-234;;la;;capital;;capital city;;651
n-spa-235;;el;;título;;title, heading;;653
n-spa-236;;el;;cuarto;;quarter, fourth, room;;655
n-spa-237;;el;;material;;material;;656
n-spa-238;;el;;golpe;;hit, strike, punch;;657
n-spa-239;;la;;comunicación;;communication;;659
n-spa-240;;la;;enfermedad;;sickness, illness;;666
n-spa-241;;el;;bien;;benefit, belongings;;667
n-spa-242;;la;;materia;;matter, material, subject;;668
n-spa-243;;el;;sitio;;place, space;;672
n-spa-244;;la;;naturaleza;;nature, character;;674
n-spa-245;;la;;capacidad;;capacity;;675
n-spa-246;;la;;distancia;;distance;;678
n-spa-247;;la;;información;;information;;682
n-spa-248;;el;;ambiente;;atmosphere; environment;;683
n-spa-249;;el;;desarrollo;;development;;685
n-spa-250;;el;;sol;;sun;;686
n-spa-251;;el;;compañero, la compañera;;companion, mate, partner;;693
n-spa-252;;la;;salida;;exit; departure; solution; start of a race; wisecrack; sunrise;;694
n-spa-253;;la;;conciencia;;conscience, consciousness;;696
n-spa-254;;la;;costumbre;;custom;;700
n-spa-255;;la;;paz;;peace;;702
n-spa-256;;la;;noticia;;news;;703
n-spa-257;;la;;circunstancia;;circumstance;;704
n-spa-258;;el;;dolor;;pain, ache, grief;;705
n-spa-259;;el;;estilo;;style;;707
n-spa-260;;el;;precio;;price, cost, value;;708
n-spa-261;;la;;planta;;plant, sole;;711
n-spa-262;;el;;personaje;;fictional character, celebrity;;712
n-spa-263;;el;;éxito;;success;;714
n-spa-264;;la;;hija;;daughter;;715
n-spa-265;;el;;ediﬁcio;;building;;717
n-spa-266;;la;;autoridad;;authority;;718
n-spa-267;;la;;piedra;;stone;;719
n-spa-268;;el;;conjunto;;collection, group; ensemble, outfit; whole, entirety;;721
n-spa-269;;la;;suerte;;luck; fate;;725
n-spa-270;;el;;espíritu;;spirit;;731
n-spa-271;;el;;miembro;;member, limb;;732
n-spa-272;;el;;recurso;;resource, recourse, means;;735
n-spa-273;;la;;pared;;interior wall;;736
n-spa-274;;el;;equipo;;team; gear or equipment;;737
n-spa-275;;el;;error;;error, mistake;;738
n-spa-276;;la;;diﬁcultad;;difﬁculty;;741
n-spa-277;;la;;voluntad;;will, willpower, intention;;745
n-spa-278;;la;;reunión;;meeting, reunion;;746
n-spa-279;;el;;o la modelo;;model;;747
n-spa-280;;la;;fecha;;date;;749
n-spa-281;;el;;propósito;;intention, purpose;;752
n-spa-282;;el;;cuidado;;care, concern;;754
n-spa-283;;el;;puesto;;job, place, position;;755
n-spa-284;;el;;grado;;degree, grade;;756
n-spa-285;;la;;lucha;;ﬁght, struggle, wrestle;;758
n-spa-286;;el;;jefe;;leader, boss, manager;;761
n-spa-287;;el;;periódico;;newspaper, periodical;;765
n-spa-288;;el;;par;;pair, couple;;768
n-spa-289;;el;;público;;public, audience;;769
n-spa-290;;la;;calidad;;quality;;772
n-spa-291;;la;;ciencia;;science;;775
n-spa-292;;el;;tamaño;;size, dimension;;776
n-spa-293;;el;;o la doctor;;doctor;;778
n-spa-294;;el;;cuadro;;square; painting, picture; baseball diamond, infield; panel, board;;779
n-spa-295;;el;;caballo;;horse;;780
n-spa-296;;la;;responsabilidad;;responsibility;;781
n-spa-297;;el;;detalle;;detail;;784
n-spa-298;;la;;marcha;;march, progress;;785
n-spa-299;;la;;carne;;meat, flesh;;787
n-spa-300;;el;;pensamiento;;thought, thinking;;789
n-spa-301;;el;;cargo;;burden; charge or duty; position or office;;791
n-spa-302;;la;;construcción;;construction;;794
n-spa-303;;el;;juicio;;judgment;;795
n-spa-304;;el;;terreno;;terrain; earth, ground; plot or tract of land;;796
n-spa-305;;el;;piso;;ﬂoor, storey;;797
n-spa-306;;la;;compañía;;company . . . as in a group of people or a business;;798
n-spa-307;;el;;texto;;text;;800
n-spa-308;;la;;fuente;;spring, fountain, source;;801
n-spa-309;;el;;presente;;present;;802
n-spa-310;;la;;revista;;magazine, journal;;804
n-spa-311;;la;;esperanza;;hope;;805
